Тип модели;Тип зашумления;Фильтр;Размер ячейки;Параметры;Ср. значение высоты (исх.);Ср. значение уклона (исх.);Ср. значение hcurv (исх.);Ср. значение vcurv (исх.);Ср. значения высоты (шум.);Ср. значение уклона (шум.);Ср. значение hcurv (шум.);Ср. значение vcurv (шум.);Ср. значения высоты (фил.);Ср. значения уклона (фил.);Ср. значения hcurv (фил.);Ср. значения vcurv (фил.);Метрика по высоте;Метрика по уклону;Метрика по гор. кривизне;Метрика по верт. кривизне
hemicylinder;_n_05;MeanFilter;3;-;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.72463731074175;0.00051394664;-3.2903912e-07;3.9571547e-13;238.87847771375152;3.6021128;0.98801666;2.4787962
hemicylinder;_n_05;MedianFilter;3;;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.41870218579235;0.00048694835;-5.70723e-07;3.2567699e-13;718.3474255945412;4.4473157;0.98362774;2.0956013
hemicylinder;_n_05;ConservativeSmoothingFilter;3;-;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.83102988388572;0.00062301446;1.2229473e-06;-4.9813257e-12;72.13745666850086;0.18765762;1.0162008;26.940092
hemicylinder;_n_05;MajorityFilter;3;-;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.949026068272714;0.0006596065;6.549061e-07;-8.786173e-12;112.78902534737321;0.9578845;1.0058851;47.75719
hemicylinder;_n_05;OlympicFilter;3;-;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.824435254697421;0.00055361434;-1.6689864e-07;3.1474254e-13;82.4727194765908;2.3602836;0.9909612;2.0357766
hemicylinder;_n_05;AdaptiveFilter;3;0.1;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.724461805275889;0.0005140017;-3.170127e-07;3.9912336e-13;239.15353413650618;3.6003888;0.9882351;2.4974415
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.1;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;0.2;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.720945637211599;0.0005141821;-1.802474e-07;3.940484e-13;244.66415800696223;3.5947418;0.9907187;2.4696753
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.2;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;0.3;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.711553220851523;0.00051447126;-9.1286346e-08;4.0259655e-13;259.38418072736386;3.585689;0.99233425;2.5164442
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.3;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;0.4;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.6932167055500065;0.0005150764;-2.1839698e-07;3.3160494e-13;288.1216122363229;3.566745;0.9900259;2.1280346
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.4;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;0.5;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.684008132968647;0.00051566475;-2.4343922e-07;3.861125e-13;302.5535105278267;3.548326;0.9895712;2.4262564
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.5;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;0.6;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.680042251668826;0.0005172243;-5.0867385e-07;4.830671e-13;308.7689358882198;3.4995027;0.98475456;2.9567146
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.6;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;0.7;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.678907535413672;0.0005189536;-3.263108e-07;3.5512289e-13;310.54729072436885;3.445366;0.9880662;2.2567058
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.7;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;0.8;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.679404345885759;0.0005214659;-1.7874277e-07;1.252998e-13;309.76867730302;3.3667164;0.9907461;0.9992969
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.8;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;0.9;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.6897522837944585;0.0005286701;-3.8566347e-07;-2.3229824e-14;293.5511380366788;3.1411834;0.9869884;0.18666108
hemicylinder;_n_05;EdgePreservingMeanFilter;3;0.9;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.864775018160065;0.0006340342;-2.8921778e-07;2.0158423e-13;19.25126378923514;0.15732466;0.98873985;1.4166646
hemicylinder;_n_05;AdaptiveFilter;3;1.0;6.877058687037529;0.0006290088;-5.4735374e-05;-5.734683e-14;6.877696757816255;0.0006609518;3.3083745e-07;1.254283e-13;6.710328961271312;0.0005441074;-5.344465e-07;-1.24798014e-14;261.30287003430084;2.657906;0.9842865;0.24547665
