Название модели;Фильтр;Размер ячейки;Параметры;Ср. значение высоты (исх.);Ср. значение уклона (исх.);Ср. значение hcurv (исх.);Ср. значение vcurv (исх.);Ср. значения высоты (шум.);Ср. значение уклона (шум.);Ср. значение hcurv (шум.);Ср. значение vcurv (шум.);Ср. значения высоты (фил.);Ср. значения уклона (фил.);Ср. значения hcurv (фил.);Ср. значения vcurv (фил.)
arcticdem32m;MeanFilter;3;-;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1195985685697103;13.164047;0.0028923173;8.86014e-05
arcticdem32m;MedianFilter;3;;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.3854585034013607;15.178602;-0.018728312;0.0019378808
arcticdem32m;ConservativeSmoothingFilter;3;-;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1179099359970008;23.619583;0.0048389407;-0.0020580865
arcticdem32m;MajorityFilter;3;-;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1293800916542858;30.373316;-0.01515782;-0.0022594826
arcticdem32m;OlympicFilter;3;-;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1185948460532327;13.294747;0.0010979743;0.00046386995
arcticdem32m;AdaptiveFilter;3;0.1;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.119514186912018;13.186176;0.0050818278;0.000113836664
arcticdem32m;EdgePreservingMeanFilter;3;0.1;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.118017656541323;14.787639;-0.0042250357;-0.00018979845
arcticdem32m;AdaptiveFilter;3;0.2;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1199558303458272;13.248379;-0.0066665807;0.00023906016
arcticdem32m;EdgePreservingMeanFilter;3;0.2;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.118017656541323;14.787639;-0.0042250357;-0.00018979845
arcticdem32m;AdaptiveFilter;3;0.3;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.119836778933922;13.402013;0.0060281684;0.00023271103
arcticdem32m;EdgePreservingMeanFilter;3;0.3;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.118017656541323;14.787639;-0.0042250357;-0.00018979845
arcticdem32m;AdaptiveFilter;3;0.4;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1182993487499475;13.704178;0.0011165478;-0.00029862855
arcticdem32m;EdgePreservingMeanFilter;3;0.4;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.118017656541323;14.787639;-0.0042250357;-0.00018979845
arcticdem32m;AdaptiveFilter;3;0.5;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1183451882876845;14.241212;-0.006920674;0.00032618924
arcticdem32m;EdgePreservingMeanFilter;3;0.5;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.118017656541323;14.787639;-0.0042250357;-0.00018979845
arcticdem32m;AdaptiveFilter;3;0.6;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1168690205014107;14.870156;-0.00985507;0.00049104815
arcticdem32m;EdgePreservingMeanFilter;3;0.6;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.118017656541323;14.787639;-0.0042250357;-0.00018979845
arcticdem32m;AdaptiveFilter;3;0.7;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.114609077939293;15.76121;-0.008950307;0.0002659617
arcticdem32m;EdgePreservingMeanFilter;3;0.7;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.118017656541323;14.787639;-0.0042250357;-0.00018979845
arcticdem32m;AdaptiveFilter;3;0.8;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.1136590902984156;16.619858;-0.02077924;0.0011394606
arcticdem32m;EdgePreservingMeanFilter;3;0.8;-1.1231563;0.060555488;0.00019418994;-3.4397038e-07;-1.1172412748079146;28.579557;-0.018153701;-0.0014557824;-1.118017656541323;14.787639;-0.0042250357;-0.00018979845
